Compound.ID,Name,Super.Class,Class,Sub.Class,Best.Match,Annotation_Confidence,Exogenous_Flag,Flag_Reason
C8-Pos-000098,Dibenzoylmethane,Phenylpropanoids and polyketides,"Linear 1,3-diarylpropanoids",Chalcones and dihydrochalcones,80.5,high,instrument_contaminant,Known instrument contaminant (project notes or NIST14 review)
C8-Pos-000164,Dibutyl Hexanedioate,Lipids and lipid-like molecules,Fatty Acyls,Fatty acid esters,94.7,high,instrument_contaminant,Name matches industrial or contaminant keyword pattern
C8-Pos-001801,Diisodecyl Phthalate,Benzenoids,Benzene and substituted derivatives,Benzoic acids and derivatives,89,high,instrument_contaminant,Name matches industrial or contaminant keyword pattern
C8-Pos-000855,Dipropyleneglycol Dibenzoate,Benzenoids,Benzene and substituted derivatives,Benzoic acids and derivatives,92.2,high,instrument_contaminant,Known instrument contaminant (project notes or NIST14 review)
C8-Neg-000223,Dodecyl Sulfate,Organic acids and derivatives,Organic sulfuric acids and derivatives,Sulfuric acid esters,98.4,high,instrument_contaminant,Known instrument contaminant (project notes or NIST14 review)
C8-Pos-000798,Erucamide,Lipids and lipid-like molecules,Fatty Acyls,Fatty amides,95.1,high,instrument_contaminant,Known instrument contaminant (project notes or NIST14 review)
C8-Pos-000335,Galaxolidone,Organoheterocyclic compounds,Benzopyrans,2-benzopyrans,93.3,high,instrument_contaminant,Known instrument contaminant (project notes or NIST14 review)
C8-Pos-000337,Geranyllinalool,Lipids and lipid-like molecules,Prenol lipids,Diterpenoids,92.3,high,instrument_contaminant,Known instrument contaminant (project notes or NIST14 review)
C8-Pos-003286,Irgafos 168,Benzenoids,Benzene and substituted derivatives,Phenylpropanes,91,high,instrument_contaminant,Name matches industrial or contaminant keyword pattern
Amide-Pos-000710,Meglumine,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,96.5,high,instrument_contaminant,Known instrument contaminant (project notes or NIST14 review)
Amide-Neg-000089,Methanesulfonic Acid,Organic acids and derivatives,Organic sulfonic acids and derivatives,Organosulfonic acids and derivatives,93,high,instrument_contaminant,Known instrument contaminant (project notes or NIST14 review)
C8-Pos-000268,Mono(2-Ethylhexyl) Phthalate (Mehp),Benzenoids,Benzene and substituted derivatives,Benzoic acids and derivatives,99.7,high,instrument_contaminant,Name matches industrial or contaminant keyword pattern
C8-Pos-000039,"N,N'-Diphenylguanidine",Benzenoids,Benzene and substituted derivatives,NA,98.5,high,instrument_contaminant,Known instrument contaminant (project notes or NIST14 review)
C18-Pos-000591,N-Methyl-2-Phenylpropan-1-Amine,Benzenoids,Benzene and substituted derivatives,Phenylpropylamines,99.8,high,instrument_contaminant,Known instrument contaminant (project notes or NIST14 review)
C18-Pos-000219,N-Methylcyclohexylamine,Organic nitrogen compounds,Organonitrogen compounds,Cyclohexylamines,83.5,high,instrument_contaminant,Known instrument contaminant (project notes or NIST14 review)
C8-Pos-000696,Octabenzone,Benzenoids,Benzene and substituted derivatives,Benzophenones,94.2,high,instrument_contaminant,Known instrument contaminant (project notes or NIST14 review)
C8-Pos-002408,"Octadecyl 3-(3,5-Di-Tert-Butyl-4-Hydroxyphenyl)Propionate",Lipids and lipid-like molecules,Fatty Acyls,Fatty alcohol esters,93.6,high,instrument_contaminant,Known instrument contaminant (project notes or NIST14 review)
C18-Pos-001599,Oleamide,Lipids and lipid-like molecules,Fatty Acyls,Fatty amides,86.8,high,instrument_contaminant,Name matches industrial or contaminant keyword pattern
C8-Pos-002320,Peg N11,Organic oxygen compounds,Organooxygen compounds,Ethers,88.9,high,instrument_contaminant,Known instrument contaminant (project notes or NIST14 review)
C8-Pos-000470,Peg N13,Organic oxygen compounds,Organooxygen compounds,Ethers,87.5,high,instrument_contaminant,Known instrument contaminant (project notes or NIST14 review)
C8-Pos-003314,Peg N14,Organic oxygen compounds,Organooxygen compounds,Ethers,86.5,high,instrument_contaminant,Known instrument contaminant (project notes or NIST14 review)
C18-Pos-002054,Peg N7,Organic oxygen compounds,Organooxygen compounds,Ethers,94,high,instrument_contaminant,Known instrument contaminant (project notes or NIST14 review)
C8-Pos-000209,Ppg N4,Organic oxygen compounds,Organooxygen compounds,Alcohols and polyols,98.2,high,instrument_contaminant,Known instrument contaminant (project notes or NIST14 review)
C18-Pos-001870,Ppg N5,Organic oxygen compounds,Organooxygen compounds,Alcohols and polyols,100,high,instrument_contaminant,Known instrument contaminant (project notes or NIST14 review)
C18-Pos-001141,Tetraglyme,Organic oxygen compounds,Organooxygen compounds,Ethers,92.2,high,instrument_contaminant,Known instrument contaminant (project notes or NIST14 review)
Amide-Pos-000365,Triethanolamine,Organic nitrogen compounds,Organonitrogen compounds,Amines,93.6,high,instrument_contaminant,Known instrument contaminant (project notes or NIST14 review)
C18-Pos-001549,Triethyl Citrate,Organic acids and derivatives,Carboxylic acids and derivatives,Tricarboxylic acids and derivatives,99.1,high,instrument_contaminant,Known instrument contaminant (project notes or NIST14 review)
C18-Pos-000839,Triethyl Phosphate,Organic acids and derivatives,Organic phosphoric acids and derivatives,Phosphate esters,97.8,high,instrument_contaminant,Known instrument contaminant (project notes or NIST14 review)
C18-Pos-001031,Triethylene Glycol Monobutyl Ether,Organic oxygen compounds,Organooxygen compounds,Ethers,92.8,high,instrument_contaminant,Known instrument contaminant (project notes or NIST14 review)
C8-Pos-001521,Triethyleneglycol Bis(2-Ethylhexanoate),Lipids and lipid-like molecules,Fatty Acyls,Fatty acid esters,96.5,high,instrument_contaminant,Known instrument contaminant (project notes or NIST14 review)
C8-Pos-000692,Triphenyl Phosphate,Organic acids and derivatives,Organic phosphoric acids and derivatives,Phosphate esters,95.3,high,instrument_contaminant,Name matches industrial or contaminant keyword pattern
Amide-Pos-000270,Trometamol,Organic nitrogen compounds,Organonitrogen compounds,Amines,95,high,instrument_contaminant,Known instrument contaminant (project notes or NIST14 review)
C8-Pos-002037,Victoria Pure Blue Bo,Benzenoids,Benzene and substituted derivatives,Diphenylmethanes,83.9,high,instrument_contaminant,Name matches industrial or contaminant keyword pattern
Amide-Neg-000851,Α-Cyano-3-Hydroxycinnamic Acid,Phenylpropanoids and polyketides,Cinnamic acids and derivatives,Hydroxycinnamic acids and derivatives,97.1,high,instrument_contaminant,Known instrument contaminant (project notes or NIST14 review)
Amide-Neg-000783,Dl-P-Hydroxyphenyllactic Acid,Benzenoids,Benzene and substituted derivatives,NA,95.1,high,review_needed,SMILES inconsistent with stated identity; manual spectrum review required before exclusion
